position	channelId	channelTitle	videoId	publishedAt	publishedAtSQL	videoTitle	videoDescription	videoCategoryId	videoCategoryLabel	duration	durationSec	dimension	definition	caption	thumbnail_maxres	licensedContent	viewCount	likeCount	dislikeCount	favoriteCount	commentCount
40	UCTprjveyeUA-pn6b7KbGhmQ	Jalayer Academy	gHftvtjnOMQ	2019-01-07T16:30:46Z	2019-01-07 16:30:46	How to use a Normal Distribution table - Z table	Z table and Standard Normal table are two names for a statistical table used to answer questions of probability, do hypothesis testing, construct confidence intervals, etc. In this series of tutorials I walk you through various versions of these tables and show you how they work and how to use them in your statistics and probability courses.	27	Education	PT6M51S	411	2d	hd	false	https://i.ytimg.com/vi/gHftvtjnOMQ/maxresdefault.jpg	1	5687	38	1	0	1
41	UCTprjveyeUA-pn6b7KbGhmQ	Jalayer Academy	is7hZDlNeJ8	2019-01-07T16:30:41Z	2019-01-07 16:30:41	How to use a Chi Square table (Part 1)	Chi-Square tables are used to make decisions in hypothesis tests and answer other statistics problems. Here I show one very simple version of a chisquare table and how to use it.	27	Education	PT6M14S	374	2d	hd	false	https://i.ytimg.com/vi/is7hZDlNeJ8/maxresdefault.jpg	1	3982	31	1	0	2
42	UCTprjveyeUA-pn6b7KbGhmQ	Jalayer Academy	vmDM9fxAdTQ	2019-01-07T16:30:37Z	2019-01-07 16:30:37	How to use a F table (Part 1)	F tables are used to make decisions in hypothesis tests and answer other statistics problems. Here I show one very simple version of a F table and how to use it.	27	Education	PT5M16S	316	2d	hd	false	https://i.ytimg.com/vi/vmDM9fxAdTQ/maxresdefault.jpg	1	732	10	0	0	2
43	UCTprjveyeUA-pn6b7KbGhmQ	Jalayer Academy	i_oXov--G2Y	2019-01-07T16:30:31Z	2019-01-07 16:30:31	How to use a T table (Part 1)	T tables are used to make decisions in hypothesis tests and answer other statistics problems. Here I show one very simple version of a T table and how to use it. Students Distribution Table.	27	Education	PT22M35S	1355	2d	hd	false	https://i.ytimg.com/vi/i_oXov--G2Y/maxresdefault.jpg	1	787	17	0	0	4
44	UCTprjveyeUA-pn6b7KbGhmQ	Jalayer Academy	-ejAvjwO3UQ	2018-12-12T18:18:19Z	2018-12-12 18:18:19	One Way ANOVA - basic concepts (part 2)	One Way or One Factor ANOVA basic concepts briefly presented.	27	Education	PT14M12S	852	2d	hd	false	https://i.ytimg.com/vi/-ejAvjwO3UQ/maxresdefault.jpg	1	1749	10	0	0	2
45	UCTprjveyeUA-pn6b7KbGhmQ	Jalayer Academy	gqAOpCIlfk8	2018-12-12T18:18:09Z	2018-12-12 18:18:09	One Way ANOVA - basic concepts (part 1)	One Way or One Factor ANOVA basic concepts briefly presented.	27	Education	PT12M39S	759	2d	hd	false	https://i.ytimg.com/vi/gqAOpCIlfk8/maxresdefault.jpg	1	2420	12	1	0	1
46	UCTprjveyeUA-pn6b7KbGhmQ	Jalayer Academy	ckVj_0x1cwU	2018-12-12T18:15:25Z	2018-12-12 18:15:25	Simple Linear Regression (part 7) - Assessment of SLR model with Google Sheets		27	Education	PT19M	1140	2d	hd	false	https://i.ytimg.com/vi/ckVj_0x1cwU/maxresdefault.jpg	1	1990			0	
47	UCTprjveyeUA-pn6b7KbGhmQ	Jalayer Academy	8bOzpjGbuhU	2018-12-12T18:14:55Z	2018-12-12 18:14:55	Simple Linear Regression (part 6) - Assessment of SLR model		27	Education	PT12M11S	731	2d	hd	false	https://i.ytimg.com/vi/8bOzpjGbuhU/maxresdefault.jpg	1	1817			0	
48	UCTprjveyeUA-pn6b7KbGhmQ	Jalayer Academy	DG9OCDz6IpI	2018-12-12T18:14:31Z	2018-12-12 18:14:31	Simple Linear Regression (part 5) - Google Sheets XL-Miner for b0, b1, scatter plot, correlation	slr lecture	27	Education	PT19M50S	1190	2d	hd	false	https://i.ytimg.com/vi/DG9OCDz6IpI/maxresdefault.jpg	1	3561			0	
49	UCTprjveyeUA-pn6b7KbGhmQ	Jalayer Academy	haE2tyRxyFA	2018-12-12T18:14:22Z	2018-12-12 18:14:22	Simple Linear Regression (part 4) - Least Squares Regression		27	Education	PT23M44S	1424	2d	hd	false	https://i.ytimg.com/vi/haE2tyRxyFA/maxresdefault.jpg	1	1567			0	
50	UCTprjveyeUA-pn6b7KbGhmQ	Jalayer Academy	WTS0dsv1oUA	2018-12-12T18:14:14Z	2018-12-12 18:14:14	Simple Linear Regression (part 3) - Correlation		27	Education	PT18M34S	1114	2d	hd	false		1	1851			0	
51	UCTprjveyeUA-pn6b7KbGhmQ	Jalayer Academy	kdFS3lzNFgA	2018-12-12T18:14:03Z	2018-12-12 18:14:03	Simple Linear Regression (part 2) - Scatter Plots		27	Education	PT16M43S	1003	2d	hd	false	https://i.ytimg.com/vi/kdFS3lzNFgA/maxresdefault.jpg	1	1865			0	
52	UCTprjveyeUA-pn6b7KbGhmQ	Jalayer Academy	1zduyWeBOh0	2018-12-12T18:13:56Z	2018-12-12 18:13:56	Simple Linear Regression (part 1) - bivariate data		27	Education	PT7M38S	458	2d	hd	false		1	2374			0	
53	UCTprjveyeUA-pn6b7KbGhmQ	Jalayer Academy	8SjxHep_o74	2018-12-12T17:47:52Z	2018-12-12 17:47:52	PivotTable and PivotChart (practice set 2)		27	Education	PT25M42S	1542	2d	hd	false	https://i.ytimg.com/vi/8SjxHep_o74/maxresdefault.jpg	1	94	6	0	0	0
54	UCTprjveyeUA-pn6b7KbGhmQ	Jalayer Academy	S99Xon1ie_8	2018-12-12T17:47:41Z	2018-12-12 17:47:41	PivotTable and PivotChart (practice set 1)		27	Education	PT27M32S	1652	2d	hd	false	https://i.ytimg.com/vi/S99Xon1ie_8/maxresdefault.jpg	1	158	7	0	0	0
55	UCTprjveyeUA-pn6b7KbGhmQ	Jalayer Academy	oPS7m8w9n5Y	2018-12-12T17:47:33Z	2018-12-12 17:47:33	Excel - PivotTables and PivotCharts	Pivot Tables and Pivot Charts allow you to slice and dice data in order to summarize and drill down to your desired level of detail.	27	Education	PT31M22S	1882	2d	hd	false	https://i.ytimg.com/vi/oPS7m8w9n5Y/maxresdefault.jpg	1	280	9	0	0	1
