Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Cases_28_Days,Deaths_28_Days
Marshall Islands,2021-09-15 06:21:33,7.1315,171.1845,4,0,,,6.8477907315152455,,,0.0,584,MHL,0,0
Mauritania,2021-09-15 06:21:33,21.0079,-10.9408,35042,760,,,753.6465031851791,,,2.1688259802522687,478,MRT,4407,113
Mauritius,2021-09-15 06:21:33,-20.348404,57.552152,13782,45,,,1083.6890719762346,,,0.326512842838485,480,MUS,7660,23
Mexico,2021-09-15 06:21:33,23.6345,-102.5528,3528972,269016,,,2761.4906270633587,,,7.623069834501378,484,MEX,392791,18440
Micronesia,2021-09-15 06:21:33,7.4256,150.5508,1,0,,,0.8786188112287484,,,0.0,583,FSM,0,0
Moldova,2021-09-15 06:21:33,47.4116,28.3699,276701,6548,,,6859.284529877938,,,2.3664533196482846,498,MDA,14112,228
Monaco,2021-09-15 06:21:33,43.7333,7.4167,3284,33,,,8368.158189786975,,,1.004872107186358,492,MCO,204,0
Mongolia,2021-09-15 06:21:33,46.8625,103.8467,263446,1066,,,8036.074882896338,,,0.4046370034086682,496,MNG,75759,172
Montenegro,2021-09-15 06:21:33,42.708678000000006,19.37439,123129,1813,,,19604.59317710672,,,1.4724394740475435,499,MNE,16088,162
Morocco,2021-09-15 06:21:33,31.7917,-7.0926,908349,13683,,,2460.946269086477,,,1.5063593398572577,504,MAR,135955,2441
Mozambique,2021-09-15 06:21:33,-18.665695,35.529562,149480,1895,,,478.2528222691509,,,1.2677281241637677,508,MOZ,9409,147
Namibia,2021-09-15 06:21:33,-22.9576,18.4904,126430,3437,,,4975.764645505794,,,2.7185003559281817,516,NAM,3731,149
Nepal,2021-09-15 06:21:33,28.1667,84.25,779492,10984,,,2675.2827557500464,,,1.4091228646349159,524,NPL,42198,630
Netherlands,2021-09-15 06:21:33,52.3167,5.55,2011571,18469,,,11739.631802348345,,,0.9181381119532942,528,NLD,71957,235
New Zealand,2021-09-15 06:21:33,-40.9006,174.886,3982,27,,,82.57585230742687,,,0.6780512305374183,554,NZL,1045,1
Nicaragua,2021-09-15 06:21:33,12.865416,-85.207229,13025,202,,,196.6170099904084,,,1.5508637236084453,558,NIC,2774,5
Niger,2021-09-15 06:21:33,17.607789,8.081666,5932,201,,,24.50567687306902,,,3.3884018880647337,562,NER,198,5
Nigeria,2021-09-15 06:21:33,9.082,8.6753,200057,2637,,,97.04928728706534,,,1.3181243345646492,566,NGA,16613,408
North Macedonia,2021-09-15 06:21:33,41.6086,21.7453,184277,6307,,,8845.097869807716,,,3.422564942993428,807,MKD,20825,733
Norway,2021-09-15 06:21:33,60.472,8.4689,178481,829,,,3292.252956056933,,,0.4644752102464688,578,NOR,32720,19
Oman,2021-09-15 06:21:33,21.512583,55.92325500000001,303223,4090,,,5937.839142979449,,,1.348842271199744,512,OMN,2642,83
Pakistan,2021-09-15 06:21:33,30.3753,69.3451,1212809,26938,,,549.0498445597915,,,2.221124678329399,586,PAK,103535,2299
Palau,2021-09-15 06:21:33,7.515,134.5825,2,0,,,11.106175033318525,,,0.0,585,PLW,2,0
Panama,2021-09-15 06:21:33,8.538,-80.7821,462770,7152,,,10725.257997649003,,,1.5454761544611797,591,PAN,13523,171
Papua New Guinea,2021-09-15 06:21:33,-6.314993,143.95555,18542,204,,,207.24202575894765,,,1.1002049401359075,598,PNG,730,12
Paraguay,2021-09-15 06:21:33,-23.4425,-58.4438,459391,16114,,,6440.786088526792,,,3.5076873512976965,600,PRY,2368,641
Peru,2021-09-15 06:21:33,-9.19,-75.0152,2162294,198840,,,6558.00102912042,,,9.19578928674824,604,PER,26467,1301
Philippines,2021-09-15 06:21:33,12.879721,121.774017,2266066,35529,,,2067.9353558143725,,,1.5678713682655316,608,PHL,500391,5067
Poland,2021-09-15 06:21:33,51.9194,19.1451,2894455,75433,,,7647.859035176339,,,2.6061210141460136,616,POL,8779,127
Portugal,2021-09-15 06:21:33,39.3999,-8.2245,1057100,17872,,,10367.072428383006,,,1.6906631349919592,620,PRT,50512,288
Qatar,2021-09-15 06:21:33,25.3548,51.1839,234895,604,,,8153.075604117928,,,0.2571361672236531,634,QAT,5198,3
Romania,2021-09-15 06:21:33,45.9432,24.9668,1126582,35132,,,5856.121335200362,,,3.118459197821375,642,ROU,38529,773
Russia,2021-09-15 06:21:33,61.524,105.3188,7072825,190793,,,4846.576332964812,,,2.6975501302520564,643,RUS,520891,21624
Rwanda,2021-09-15 06:21:33,-1.9403,29.8739,93567,1180,,,722.4018698277645,,,1.2611283892825462,646,RWA,12873,203
Saint Kitts and Nevis,2021-09-15 06:21:33,17.357822,-62.782998,1510,8,,,2838.772747781621,,,0.5298013245033113,659,KNA,829,5
Saint Lucia,2021-09-15 06:21:33,13.9094,-60.9789,9971,132,,,5429.970211676805,,,1.323839133487113,662,LCA,3496,37
Saint Vincent and the Grenadines,2021-09-15 06:21:33,12.9843,-61.2872,2521,13,,,2272.256122292626,,,0.5156683855612852,670,VCT,201,1
Samoa,2021-09-15 06:21:33,-13.759,-172.1046,3,0,,,1.5295977158007443,,,0.0,882,WSM,0,0
San Marino,2021-09-15 06:21:33,43.9424,12.4578,5399,90,,,15908.421238729448,,,1.6669753658084832,674,SMR,161,0
Sao Tome and Principe,2021-09-15 06:21:33,0.1864,6.6131,2877,42,,,1312.7335611719236,,,1.45985401459854,678,STP,385,5
Saudi Arabia,2021-09-15 06:21:33,23.885942,45.079162,545829,8610,,,1567.849385993231,,,1.5774171031586817,682,SAU,6700,191
Senegal,2021-09-15 06:21:33,14.4974,-14.4524,73513,1837,,,439.04268591662765,,,2.498877749513692,686,SEN,2511,212
Serbia,2021-09-15 06:21:33,44.0165,21.0059,830884,7601,,,9509.54348963132,,,0.9148088060427207,688,SRB,96068,424
Seychelles,2021-09-15 06:21:33,-4.6796,55.492,20593,106,,,20940.614195647748,,,0.5147380177730296,690,SYC,1369,8
Sierra Leone,2021-09-15 06:21:33,8.460555000000001,-11.779889,6386,121,,,80.05530911741717,,,1.8947698089570937,694,SLE,43,0
Singapore,2021-09-15 06:21:33,1.2833,103.8333,73131,58,,,1250.029271787996,,,0.0793097318510618,702,SGP,6850,13
Slovakia,2021-09-15 06:21:33,48.669,19.699,399218,12562,,,7312.163084655902,,,3.1466517040814788,703,SVK,5608,16
Slovenia,2021-09-15 06:21:33,46.1512,14.9955,277853,4473,,,13365.179813481152,,,1.6098440542301145,705,SVN,16049,40
Solomon Islands,2021-09-15 06:21:33,-9.6457,160.1562,20,0,,,3.0634533083764004,,,0.0,90,SLB,0,0
Somalia,2021-09-15 06:21:33,5.152149,46.199616,18568,1032,,,116.82969950895409,,,5.557949159844895,706,SOM,2169,140
South Africa,2021-09-15 06:21:33,-30.5595,22.9375,2864534,85302,,,4829.872317193315,,,2.9778665570036877,710,ZAF,240280,7309
South Sudan,2021-09-15 06:21:33,6.877000000000002,31.307,11755,121,,,105.01415569378176,,,1.0293492131008082,728,SSD,548,1
Spain,2021-09-15 06:21:33,40.463667,-3.74922,4918526,85548,,,10519.834943945734,,,1.739301571243092,724,ESP,184924,2809
Sri Lanka,2021-09-15 06:21:33,7.873054,80.77179699999998,490957,11567,,,2292.7719986456977,,,2.3560108115374665,144,LKA,125274,5133
Sudan,2021-09-15 06:21:33,12.8628,30.2176,37951,2873,,,86.54876321883495,,,7.570288002951174,729,SDN,395,57
Summer Olympics 2020,2021-09-15 06:21:33,35.6491,139.7737,865,0,,,,,,0.0,2020,,291,0
Suriname,2021-09-15 06:21:33,3.9193,-56.0278,34637,773,,,5904.362856568149,,,2.2317175274994954,740,SUR,7835,84
Sweden,2021-09-15 06:21:33,60.1282,18.6435,1141673,14729,,,11304.510127959744,,,1.290124229967775,752,SWE,28715,70
Switzerland,2021-09-15 06:21:33,46.8182,8.2275,816110,10974,,,9429.763393369874,,,1.3446716741615714,756,CHE,72004,155
Syria,2021-09-15 06:21:33,34.802075,38.99681500000001,29805,2090,,,170.30789186943096,,,7.012246267404798,760,SYR,3326,148
Taiwan*,2021-09-15 06:21:33,23.7,121.0,16098,839,,,67.59101515633414,,,5.211827556218164,158,TWN,218,18
Tajikistan,2021-09-15 06:21:33,38.861,71.2761,17484,125,,,183.31575037100362,,,0.7149393731411576,762,TJK,861,0
Tanzania,2021-09-15 06:21:33,-6.369028,34.888822,1367,50,,,2.288470762977994,,,3.65764447695684,834,TZA,0,0
Thailand,2021-09-15 06:21:33,15.870032,100.992541,1406542,14621,,,2015.103786995463,,,1.0394997092159353,764,THA,458100,6648
Timor-Leste,2021-09-15 06:21:33,-8.874217,125.727539,18715,98,,,1419.4784450131292,,,0.5236441357200107,626,TLS,5786,60
Togo,2021-09-15 06:21:33,8.6195,0.8248,23947,208,,,289.25909833830934,,,0.8685847914143734,768,TGO,5588,38
Trinidad and Tobago,2021-09-15 06:21:33,10.6918,-61.2225,47363,1386,,,3384.3018640348528,,,2.926334902772206,780,TTO,5130,190
Tunisia,2021-09-15 06:21:33,33.886917,9.537499,695406,24274,,,5883.987450986232,,,3.4906227441235766,788,TUN,68656,2249
Turkey,2021-09-15 06:21:33,38.9637,35.2433,6710636,60393,,,7956.73492570175,,,0.8999594077223083,792,TUR,592158,6886
US,2021-09-15 06:21:33,40.0,-100.0,41365255,663936,,,12555.231638073265,,,1.6050571911136533,840,USA,4308997,40205
Uganda,2021-09-15 06:21:33,1.373333,32.290275,121617,3103,,,265.88181281563584,,,2.551452510750964,800,UGA,24431,198
Ukraine,2021-09-15 06:21:33,48.3794,31.1656,2424416,57913,,,5543.580189390992,,,2.38874021620052,804,UKR,66572,1676
