Candidate,Party,Criminal Cases,Education,Age,Total Assets,Constituency,Liabilities
Kanchedilal Kushwaha,IND,0,8th Pass,43,4036384,Sagar,80000
"Mahendra Singh Patel ""Barual""",IND,0,8th Pass,51,1050000,Sagar,0
Moh. Khurram Qureshi,IND,0,12th Pass,52,14465000,Sagar,494340
Prabhu Singh Thakur,INC,0,Post Graduate,65,116106237,Sagar,869967
Rajkumar Yadav,BSP,0,12th Pass,47,4225000,Sagar,300000
Ramnaresh Tiwari,Samagra Utthan Party,0,12th Pass,34,158000,Sagar,0
Vinay Kumar Sen,Bhartiya Shakti Chetna Party,0,12th Pass,39,1775711,Sagar,160000
Ganesh Singh,BJP, 2 ,Post Graduate,56,41719076,Satna,0
Acche Lal Kushawaha,BSP, 2 ,8th Pass,63,24846270,Satna,746000
Ashok Vishwakarma,IND,0,8th Pass,47,722500,Satna,0
Babu Lal,IND,0,10th Pass,36,86500,Satna,0
Dr Suresh Tripathi,IND,0,Graduate Professional,62,16638328,Satna,900000
Mahendra Singh,Bhartiya Shakti Chetna Party,0,8th Pass,69,5200226,Satna,100000
"Mahesh Sahu ""Pappu""",Akhil Bharat Hindu Mahasabha,0,5th Pass,52,4057018,Satna,0
Manoraj Dwivedi,Janata Congress,0,10th Pass,41,4755000,Satna,0
Mo. Jibrail,IND,0,8th Pass,51,2523000,Satna,0
Munni Kranti,IND,0,Literate,54,2619000,Satna,0
Nand Kishore,Peoples Party of India (Democratic),0,12th Pass,40,2200000,Satna,0
Nasir Khan,IND,0,5th Pass,66,31300,Satna,0
Rajaram Tripathi,INC,0,12th Pass,66,150375545,Satna,18844623
Rajendra Tripathi,Bharatiya Jan Morcha Party,0,Graduate Professional,52,129500,Satna,0
Ram Nivas Sen,RPI(A),0,8th Pass,58,612715,Satna,0
Ram Vishwash Pal,Rashtriya Samaj Paksha,0,8th Pass,52,1382000,Satna,0
Ramkushal Kewat,Bhartiya Manav Samaj Party,0,8th Pass,42,3114765,Satna,0
Sandeep Kumar Tiwari,IND,0,10th Pass,45,2172000,Satna,0
Shashank Singh Baghel,Sapaks Party,0,Graduate,26,233985,Satna,0
Surendra Prasad Pandey,IND,0,Others,68,3112401,Satna,63000
Vipin Singh Tiwari,Smart Indians Party,0,12th Pass,35,378000,Satna,0
Himadri Singh,BJP,0,Graduate,32,36564408,Shahdol,1736289
Durga Mosi,IND,0,Literate,30,300000,Shahdol,0
Gokul Singh,IND,0,Illiterate,42,50000,Shahdol,0
Jhamaklal,IND,0,5th Pass,67,50000,Shahdol,0
Kamla Prasad Baiga,Bhartiya Shakti Chetna Party,0,10th Pass,37,30828,Shahdol,42000
Keshkali,CPI,0,12th Pass,31,223200,Shahdol,20000
Lakshyapat Singh,Peoples Party of India (Democratic),0,10th Pass,48,590000,Shahdol,0
Manna Singh,IND,0,5th Pass,60,2321842,Shahdol,0
Meera Singh,Chhattisgarh Vikas Ganga Rashtriya Party,0,5th Pass,47,225000,Shahdol,0
Mohadal,BSP,0,10th Pass,65,826000,Shahdol,0
Narayan Singh Uike,IND,0,5th Pass,33,170000,Shahdol,0
Pramila Singh,INC,0,Post Graduate,50,20491903,Shahdol,3913894
Vimal Singh Korche,Gondvana Gantantra Party,0,10th Pass,27,932000,Shahdol,0
Riti Pathak,BJP,0,Post Graduate,41,51541791,Sidhi,505922
Ajay Arjun Singh,INC, 2 ,Post Graduate,63,375482525,Sidhi,4000000
Anup Kumar Singh,Samagra Utthan Party,0,Post Graduate,41,2835000,Sidhi,2042700
Ashish Kumar Singh Chauhan,SHS,0,12th Pass,35,65000,Sidhi,0
Dharmendra Singh Baghel,IND,0,Graduate Professional,37,11771500,Sidhi,0
Dileep,IND,0,Graduate,34,45000,Sidhi,0
Fatte Bahadur Singh Markam,Gondvana Gantantra Party,0,Post Graduate,63,6173351,Sidhi,280000
Gyani Jaiswal,IND,0,8th Pass,35,1026900,Sidhi,0
Lalan,IND,0,8th Pass,40,1823,Sidhi,0
Lalta,IND,0,Graduate,35,100500,Sidhi,0
Nirmala Prajapati,Akhil Bhartiya Gondwana Party,0,Literate,45,8419799,Sidhi,55000
Rakesh,IND,0,Post Graduate,44,10128000,Sidhi,0
Ram Das ,Peoples Party of India (Democratic),0,10th Pass,65,7283000,Sidhi,365000
Ram Kripal Basor,RPI(A),0,Illiterate,41,220250,Sidhi,0
Ram Lal Panika,BSP,0,12th Pass,48,30814000,Sidhi,0
Ram Rahees Kol,CPI(ML) Red Star,0,12th Pass,40,97500,Sidhi,0
Ramadhar,Sapaks Party,0,5th Pass,58,447600,Sidhi,0
Ramawatar Vishwakarma,IND, 1 ,5th Pass,63,2080600,Sidhi,550000
Ramkumar Jaysval,IND,0,Literate,82,47282,Sidhi,0
Ramraj,IND,0,Post Graduate,0,13737000,Sidhi,0
Ramsahay,IND,0,Literate,49,6134,Sidhi,0
Sanjay Kumar Namdeo,CPI, 4 ,10th Pass,42,1176000,Sidhi,0
Shyam Lal,Bhartiya Shakti Chetna Party,0,12th Pass,47,10268000,Sidhi,300000
Virendra Kumar,BJP,0,Doctorate,65,21503766,Tikamgarh,1974216
Ahirwar Shripat Shikshak,Poorvanchal Rashtriya Congress,0,12th Pass,47,917000,Tikamgarh,0
Jitendra Banshkar,IND,0,10th Pass,33,170000,Tikamgarh,0
Kamta Prasad,Pragatishil Samajwadi Party (Lohia),0,Post Graduate,51,1867562,Tikamgarh,0
Kiran Singh Ahirwar,INC,0,Post Graduate,47,36507983,Tikamgarh,2500000
Nandram Prajapati,Adarsh Nyay Rakshak Party,0,Post Graduate,48,1225800,Tikamgarh,0
Narayan Das Jatav,Madhya Pradesh Jan Vikas Party,0,12th Pass,4,Nil,Tikamgarh,0
Pramod Prajapati,IND,0,12th Pass,30,26163,Tikamgarh,0
R.B. Prajapati Advocate,IND,0,Graduate Professional,39,414000,Tikamgarh,0
R.D. Prajapati,SP,0,Graduate,57,8361117,Tikamgarh,8127000
Shobha Valmiki,IND,0,Graduate,72,2146000,Tikamgarh,28000
Shriram Nagar,Sapaks Party,0,Post Graduate,59,670000,Tikamgarh,590000
Suresh Kumar Kori,IND,0,5th Pass,52,380000,Tikamgarh,0
Surjeet Chadar,Bhartiya Shakti Chetna Party,0,5th Pass,33,45000,Tikamgarh,0
Anil Firojiya,BJP,0,12th Pass,47,26417937,Ujjain,3203766
Ambaram Parmar Chandravanshi,IND,0,8th Pass,72,4016303,Ujjain,0
Babulal Malviya,INC, 1 ,5th Pass,56,2181243,Ujjain,1785483
Banesingh Parmar,IND,0,5th Pass,39,109326,Ujjain,94341
Dr. Sagar Solanki,IND,0,Graduate,38,923000,Ujjain,87000
Mahesh Marmat,SHS, 1 ,8th Pass,38,2126257,Ujjain,0
Ramchandra Parmar,Bahujan Mukti Party, 1 ,10th Pass,61,1260081,Ujjain,0
Satish Parmar,BSP,0,12th Pass,45,5813661,Ujjain,1050000
Tilakraj Ahirwar,IND,0,Graduate,43,1433000,Ujjain,0
Ramakant Bhargava,BJP,0,12th Pass,66,30032282,Vidisha,3332012
Anil Malviya Patrakar,IND,0,Post Graduate,33,1970453,Vidisha,432101
Devendra Singh Chouhan,IND,0,Graduate,41,33443000,Vidisha,1390000
Geetawali Er. P.S. Ahirwar,BSP,0,Graduate,51,40124085,Vidisha,0
Madan Lal Bhadoriya,Prajatantrik Samadhan Party,0,12th Pass,47,652000,Vidisha,0
Mahant Pratap Giri,IND,0,Literate,38,300000,Vidisha,0
Mo. Talat Khan,IND,0,12th Pass,48,209397,Vidisha,0
Naveen Jatav,IND,0,10th Pass,32,3313000,Vidisha,700000
Ramkrishna Surywanshi,Bahujan Mukti Party,0,8th Pass,34,106000,Vidisha,0
Shailendra Kumar,IND,0,12th Pass,40,6716000,Vidisha,0
Shailendra Rameshchandra Patel,INC,0,Post Graduate,43,130523815,Vidisha,1677179
Sudhir Kumar,IND,0,Graduate,52,6925972,Vidisha,224529
Vivek,IND,0,Graduate,37,208519,Vidisha,20000
Sujay Radhakrishna Vikhe,BJP,0,Doctorate,37,168664576,Ahmednagar,2623964
Appasaheb Navnath Palve,IND,0,Graduate Professional,32,130000,Ahmednagar,115000
Bhaskar Fakira Patole,IND,0,10th Pass,38,290540,Ahmednagar,0
Dattatraya Appa Waghmode,IND,0,5th Pass,50,5319100,Ahmednagar,180000
Dhiraj Motilal Batade,Right to Recall Party,0,12th Pass,31,22000,Ahmednagar,0
Farukh Ismail Shaikh,Bharatiya Praja Surajya Paksha,0,8th Pass,36,1792478,Ahmednagar,560000
Kaliram Bahiru Popalghat,Bhartiya Navjawan Sena (Paksha),0,10th Pass,67,58000,Ahmednagar,0
Kamal Dashrath Sawant,IND, 1 ,Graduate Professional,61,21164925,Ahmednagar,1504720
Ramnath Gahininath Golhar,IND,0,12th Pass,54,66085000,Ahmednagar,28000000
Sainath Bhausaheb Ghorpade,IND, 1 ,8th Pass,33,4580000,Ahmednagar,2450000
Sandip Laxman Sakat,IND, 1 ,10th Pass,38,24600,Ahmednagar,0
Sangram Arunkaka Jagtap,NCP, 1 ,Graduate,34,94488381,Ahmednagar,32549132
Sanjay Dagdu Sawant,Bahujan Mukti Party,0,5th Pass,25,30000,Ahmednagar,0
Sanjiv Baban Bhor,IND, 10 ,Others,44,10811146,Ahmednagar,3222409
Shaikh Abid Mohammad Hanif,IND,0,12th Pass,46,337684,Ahmednagar,804254
Shridhar Jakhuji Darekar,IND,0,Graduate,64,17083133,Ahmednagar,0
Sudhakar Laxman Avhad,Vanchit Bahujan Aaghadi,0,Graduate,62,13949000,Ahmednagar,1400000
Supekar Dnyandeo Narhari,IND,0,5th Pass,70,1598872,Ahmednagar,0
Wakale Namdeo Arjun,BSP,0,Graduate Professional,51,180749234,Ahmednagar,250000
Sanjay Shamrao Dhotre,BJP, 1 ,Graduate Professional,60,77153230,Akola,14985774
Ambedkar Prakash Yashwant,Vanchit Bahujan Aaghadi,0,Graduate Professional,64,58722916,Akola,0
Arun Kankar Wankhede,Peoples Party of India (Democratic),0,10th Pass,63,7335000,Akola,125000
Arun Manohar Thakare,IND,0,10th Pass,61,Nil,Akola,0
Gajanan Onkar Harne,IND,0,12th Pass,50,4270000,Akola,0
Hidayatulla Barakatulla Patel,INC, 1 ,10th Pass,60,14947292,Akola,483635
Kamble Bhanudas Chokhoba,BSP,0,12th Pass,50,1042000,Akola,0
Murlidhar Lalsingh Pawar,IND,0,Post Graduate,60,4771400,Akola,0
Pravin Chandrakant Kaurpuriya,IND,0,Graduate Professional,44,540000,Akola,0
Sachin Ganpatlal Sharma,IND,0,10th Pass,39,31410000,Akola,2355000
Sau. Pravina Laxman Bhatkar,Bahujan Mukti Party,0,Graduate Professional,58,16726329,Akola,1200000
Navneet Ravi Rana,IND, 1 ,10th Pass,33,124554656,Amravati,70576979
Ambadas Shamrao Wankhade,IND,0,8th Pass,49,879500,Amravati,0
Anandrao Vithoba Adsul,SHS, 2 ,Graduate,71,44015877,Amravati,8545894
Anil Namdevrao Jamnekar,IND,0,12th Pass,54,10746000,Amravati,120000
Arun Motiramji Wankhade,BSP, 3 ,12th Pass,56,338097138,Amravati,6600000
Dnyaneshwar Kashirao Mankar,IND,0,10th Pass,57,701417,Amravati,0
Gade Vinod Milind,Ambedkarist Republican Party,0,12th Pass,41,1634000,Amravati,315000
Gunavant Deopare,Vanchit Bahujan Aaghadi, 2 ,Others,47,351944996,Amravati,79139288
Kurwade Meenakshi Someshwar,IND,0,8th Pass,38,7130500,Amravati,250000
Narendra Babulal Kathane,Rashtriya Jansurajya Party,0,12th Pass,37,410000,Amravati,0
Nilesh Anandrao Patil,Ambedkarite Party of India,0,12th Pass,44,599000,Amravati,0
Nilima Nitin Bhatkar,Peoples Party of India (Democratic),0,Graduate Professional,44,12249199,Amravati,4300000
Panchshila Vijay Mohod,Bahujan Mukti Party,0,Graduate,59,5452000,Amravati,400000
Pankaj Liladhar Meshram,IND,0,Graduate,47,2625300,Amravati,0
Pramod Laxman Meshram,IND,0,Post Graduate,43,3170000,Amravati,1700000
Pravin Mahadeo Sarode,IND,0,12th Pass,31,15000,Amravati,0
Rahulbhau Laxmanrao Mohod,IND, 1 ,8th Pass,44,2700000,Amravati,225500
Raju Bakshi Jamnekar,IND,0,Post Graduate,46,518000,Amravati,100000
Raju Shamraoji Mankar,IND,0,5th Pass,52,212100,Amravati,0
Sanjay Hiramanji Athwale,Bahujan Maha Party, 1 ,12th Pass,55,1292000,Amravati,130000
Shrikant Ulhas Raibole,IND,0,Graduate,32,1030000,Amravati,0
Sonone Raju Mahadeo,IND,0,Graduate,48,6177000,Amravati,0
Vijay Yashvant Vilhekar,IND,0,Others,61,28391641,Amravati,144625
Vilas Sheshrao Thorat,IND,0,12th Pass,51,483000,Amravati,19000
Imtiaz Jaleel Syed,AIMIM, 4 ,Post Graduate,50,29562768,Aurangabad,6800000
Arvind Kisanrao Kamble,Bahujan Republican Socialist Party,0,Graduate,27,75000,Aurangabad,0
Dipali Lalaji Misal,Bahujan Mukti Party,0,Post Graduate,26,260000,Aurangabad,1180000
Fulare Suresh Asaram,IND, 2 ,12th Pass,38,4663396,Aurangabad,680000
Habib Gayas Shaikh,Ambedkar National Congress,0,10th Pass,53,295000,Aurangabad,6000
Harshwardhandada Raibhanji Jadhav,IND, 2 ,Graduate,41,123952399,Aurangabad,11017453
Jagan Baburao Salve,IND,0,Post Graduate,42,13000,Aurangabad,150000
Jaya Balu Rajkundal,BSP,0,Post Graduate,54,5225000,Aurangabad,0
Khaire Chandrakant,SHS, 9 ,12th Pass,67,89820322,Aurangabad,31390310
Khan Aejaz Ahemad,IND, 1 ,12th Pass,44,1028150,Aurangabad,0
Kunjbihari Jugalkishor Agrawal,Pragatishil Samajwadi Party (Lohia), 5 ,Graduate,60,39193159,Aurangabad,6174351
Kurangal Sanjay Baburao,IND,0,10th Pass,48,2245929,Aurangabad,25289
Madhukar Bansi Magare,Peoples Party of India (Democratic),0,Graduate,62,9211318,Aurangabad,2440135
Mahamad Jakir Abdul Kadar,Bharat Prabhat Party,0,12th Pass,43,229500,Aurangabad,0
Mohammad Mohasin,Navbharat Nirman Party,0,10th Pass,29,40000,Aurangabad,0
Ravindra Bhanudas Kale,IND,0,10th Pass,39,917481,Aurangabad,0
Sangita Kalyanrao Nirmal,IND,0,Others,42,565000,Aurangabad,29000
Shaikh Khaja Shaikh Kasim Kismatwala,IND,0,8th Pass,42,763100,Aurangabad,130000
Shaikh Nadim Shaikh Karim,Bahujan Maha Party,0,12th Pass,45,4100000,Aurangabad,0
Subhash Kisanrao Patil,Maharashtra Swabhimaan Paksh, 2 ,Graduate,57,23789960,Aurangabad,4839442
Tribhuvan Madhukar Padmakar,IND,0,12th Pass,51,307000,Aurangabad,0
Uttam Dhanu Rathod,Aasra Lokmanch Party,0,10th Pass,65,257559,Aurangabad,65536
Zambad Subhash Manakchand,INC,0,12th Pass,56,339452909,Aurangabad,198464347
Supriya Sadanand Sule,NCP,0,Graduate,49,1408888704,Baramati,5500000
Adv.Girish Madan Patil,IND,0,Graduate,35,550000,Baramati,0
Alankruta Abhijeet Awade-Bichukale,IND,0,Post Graduate,39,442102,Baramati,0
Dashrath Nana Raut,Bharatiya Praja Surajya Paksha,0,8th Pass,58,815000,Baramati,0
Deepak Shantaram Watvisave,IND,0,Doctorate,45,51484500,Baramati,2690000
Dr. Balasaheb Arjun Pol,IND, 3 ,Graduate Professional,47,204055,Baramati,283000
Hemant Baburao Kolekar Patil,IND, 1 ,8th Pass,48,50595000,Baramati,900000
Kanchan Rahul Kul,BJP,0,Graduate,34,47572790,Baramati,2250279
Mangesh Nilkanth Vanshiv,BSP,0,Post Graduate,41,5775000,Baramati,0
Padalkar Navanath Vishnu,Vanchit Bahujan Aaghadi, 1 ,Post Graduate,43,4980257,Baramati,3700190
Sanjay Shinde,Bahujan Mukti Party,0,12th Pass,38,35722,Baramati,15000
Savita Bhimrao Kadale,Hindustan Janta Party,0,Literate,35,3350000,Baramati,0
Shivaji Rambhau Nandkhile,IND, 2 ,Illiterate,54,23790000,Baramati,1740000
Suresh Baburao Veer,IND,0,10th Pass,72,3694590,Baramati,138000
Ulhas Mugut Chormale,IND,0,10th Pass,46,3914944,Baramati,0
Vijaynath Ramchandra Chandere,IND,0,Post Graduate,40,3732391,Baramati,105775
Vishvanath Sitaram Gargade,IND,0,10th Pass,57,161600,Baramati,75000
Yuvraj Prakash Bhujbal,Jan Adhikar Party,0,Others,33,617200,Baramati,0
Pritam Gopinathrao Munde,BJP, 1 ,Post Graduate,36,167477926,Beed,98833794
Adv. Sharad Bahinaji Kamble,IND,0,Post Graduate,39,180000,Beed,0
Anwar Khan Mirza Khan,IND, 5 ,Graduate,38,60000,Beed,0
Ashok Bhagoji Thorat,Hum Bhartiya Party,0,8th Pass,37,650000,Beed,0
Bajarang Manohar Sonwane,NCP, 1 ,Graduate,48,160776182,Beed,8488691
Bajrang Digambar Sonwane,IND,0,Literate,68,1208541,Beed,13500
Chavan Sampat Ramsing,IND, 1 ,Post Graduate,57,110000,Beed,200000
Galebkhan Jabbarkhan Pathan,IND,0,5th Pass,50,20000,Beed,0
Ganesh Navnathrao Karande,Maharashtra Kranti Sena,0,Post Graduate,33,235000,Beed,0
Jagtap Nilesh Murlidhar,IND, 1 ,Post Graduate,37,1047000,Beed,0
Jamir Bashir Shaikh,IND,0,10th Pass,40,220000,Beed,0
Juber Munshi Kureshi,IND,0,Literate,0,1350000,Beed,0
Kalidas Pandharinath Aapet,IND, 1 ,12th Pass,52,9084000,Beed,800000
Kalyan Bhanudas Gurav,Bharatiya Praja Surajya Paksha,0,12th Pass,73,50000,Beed,0
Khan Majhar Habib,IND,0,8th Pass,44,1712000,Beed,150000
Kolekar Ganesh Bhausaheb,IND,0,12th Pass,32,125000,Beed,70000
Mujeeb Naimoddin Inamdar,IND,0,10th Pass,30,56000,Beed,0
Nisar Ahemad,IND,0,10th Pass,62,220000,Beed,0
Pandit Damodhar Khande,IND,0,10th Pass,38,695000,Beed,42000
Pathan Musakhan Yunuskhan,IND,0,Graduate,46,616000,Beed,16000
Pathan Sarfarzkhan Mahetabkhan,IND,0,10th Pass,33,51000,Beed,0
Patil Yashashri Pramod,IND,0,12th Pass,27,1005000,Beed,304000
Rajeshkumar Annasaheb Bhadgale,IND,0,12th Pass,39,67000,Beed,0
Ramesh Ramkisan Gavhane,Dalit Soshit Pichhara Varg Adhikar Dal,0,12th Pass,25,201000,Beed,0
Sadek Muniroddin Shaikh,Bahujan Republican Socialist Party,0,Others,31,373000,Beed,0
Sajan Raees Chaodhri,IND,0,5th Pass,29,130000,Beed,0
Sayed Mujammil Sayed Jamil,SP, 1 ,12th Pass,28,60000,Beed,0
Sayyad Minhaj,IND,0,12th Pass,44,880000,Beed,105000
Shaikh Sadek Shaikh Ibrahim,IND,0,8th Pass,35,445500,Beed,107800
Shaikh Yashed Shaikh Tayyab,IND,0,Graduate Professional,33,94500,Beed,0
Shinde Chandraprakash Ganpatrao,Ambedkarite Party of India,0,10th Pass,63,1945137,Beed,0
Shivaji Naraynrao Kawathekar,IND,0,10th Pass,55,Nil,Beed,200000
Tukaram Vyankati Chate,IND,0,5th Pass,64,580000,Beed,0
Veer Shesherao Chokhoba,IND,0,Graduate,58,Nil,Beed,0
Vijay Rangnath Salve,IND,0,Graduate,46,211614,Beed,0
Vishnu Jadhav,IND, 1 ,Post Graduate,62,4654000,Beed,1622000
Sunil Baburao Mendhe,BJP, 2 ,Others,50,627543615,Bhandara Gondiya,19861338
Bhimrao Duryodhan Borkar,Peoples Party of India (Democratic),0,Post Graduate,67,61036926,Bhandara Gondiya,383856
Devidas Santuji Lanjewar,IND,0,Graduate,61,4780376,Bhandara Gondiya,0
Dr. Sunil Sampat Chawale,IND,0,Doctorate,50,3600500,Bhandara Gondiya,75000
Dr. Vijaya Rajesh Nandurkar,BSP,0,Graduate Professional,37,36343297,Bhandara Gondiya,3616000
Gajbhiye Pramod Hiraman,IND, 2 ,Graduate,46,113000,Bhandara Gondiya,0
Jaiswal Virendrakumar Kasturchand,IND,0,Graduate Professional,63,36751774,Bhandara Gondiya,1400000
Kalchuri Nilesh,IND,0,10th Pass,45,50000,Bhandara Gondiya,0
Maraskolhe Bhojraj Isulal,Bhartiya Shakti Chetna Party,0,8th Pass,47,820000,Bhandara Gondiya,0
Nana Jairam,NCP,0,10th Pass,64,57462818,Bhandara Gondiya,2050134
Nanhe Karu Nagoji,Vanchit Bahujan Aaghadi,0,Graduate Professional,68,5995146,Bhandara Gondiya,60000
Patle Rajendra Sahasram,IND, 2 ,Others,56,32513000,Bhandara Gondiya,7500000
Suhas Anil Funde,IND,0,Post Graduate,29,150000,Bhandara Gondiya,0
Sumit Vijay Pande,IND,0,Graduate Professional,38,745119,Bhandara Gondiya,50000
Kapil Moreshwar Patil,BJP,0,Graduate,58,418850781,Bhiwandi,5645459
Ansari Mumtaz Abdul Sattar,Bahujan Republican Socialist Party,0,8th Pass,44,776000,Bhiwandi,0
Arun Damodar Savant,Vanchit Bahujan Aaghadi,0,Doctorate,69,50883853,Bhiwandi,0
Balaram Vitthal Mhatre,IND,0,Literate,57,524379,Bhiwandi,0
Dr. Nooruddin Nizam Ansari,SP, 1 ,Graduate Professional,44,223828092,Bhiwandi,0
Engineer Navid Betab,IND,0,Graduate,41,510275000,Bhiwandi,0
Feroz Abdurrahim Shaikh,Jan Adhikar Party,0,Graduate Professional,46,12078738,Bhiwandi,236327
Kapil Jayhind Patil,IND,0,8th Pass,35,1592197,Bhiwandi,175000
Kapil Yashwant Dhamane,IND,0,12th Pass,34,1905000,Bhiwandi,0
Kishor Rambhauji Kinkar,Bharat Prabhat Party, 1 ,Graduate,48,14553801,Bhiwandi,500000
Ku. Nitesh Raghunath Jadhav,IND, 2 ,12th Pass,27,834000,Bhiwandi,0
Sanjay Ganapat Wagh,Bhartiya Tribal Party,0,12th Pass,28,237279,Bhiwandi,0
Shr. Deepak Pandharinath Khambekar,IND,0,10th Pass,53,1947893,Bhiwandi,0
Suhas Dhananjay Bonde,IND, 1 ,12th Pass,47,72595476,Bhiwandi,2767246
Taware Suresh Kashinath,INC, 1 ,12th Pass,62,324522111,Bhiwandi,964774
Prataprao Ganpatrao Jadhav,SHS, 3 ,12th Pass,58,116272966,Buldhana,735482
A. Hafeez A. Aziz,BSP,0,12th Pass,39,1166769,Buldhana,700000
Ananta Datta Puri,IND,0,10th Pass,34,1699000,Buldhana,40000
Baliram Bhagwan Siraskar,Vanchit Bahujan Aaghadi, 2 ,8th Pass,57,43855736,Buldhana,1730992
Dinkar Tukaram Sambare,IND,0,10th Pass,66,31962000,Buldhana,0
Dr. Rajendra Bhaskarrav Shingne,NCP, 1 ,Graduate Professional,58,95350365,Buldhana,21940000
Gajanan Uttam Shantabai,IND,0,10th Pass,38,2192924,Buldhana,113902
Pratap Pandharinath Patil,Bahujan Mukti Party,0,8th Pass,50,4996000,Buldhana,0
Vijay Banwarilal Masani,IND,0,Post Graduate,36,1127000,Buldhana,3245000
Vikas Prakash Nandve,IND, 1 ,12th Pass,27,Nil,Buldhana,0
Wamanrao Ganpatrao Akhare,IND,0,5th Pass,62,3525622,Buldhana,0
Dhanorkar Suresh Narayan,INC, 5 ,12th Pass,43,137455342,Chandrapur,22752880
Ahir Hansraj Gangaramji,BJP,0,10th Pass,64,18300860,Chandrapur,45386
Arvind Nanaji Raut,IND, 1 ,10th Pass,59,6367803,Chandrapur,1501577
Dashrath Pandurang Madavi,Bahujan Republican Socialist Party,0,Graduate,60,9403318,Chandrapur,1790000
Gautam Ganpat Nagrale,Bahujan Mukti Party,0,Graduate,58,5581000,Chandrapur,202010
Madhukar Vithal Nistane,"Proutist Bloc, India", 1 ,Graduate,54,896000,Chandrapur,650000
Milind Pralhad Dahiwale,IND,0,10th Pass,39,407500,Chandrapur,0
Namdeo Keshao Kinnake,IND,0,5th Pass,61,3155000,Chandrapur,300000
Namdeo Shedmake,Gondvana Gantantra Party,0,10th Pass,50,358900,Chandrapur,332000
Nitesh Anandrao Dongre,Ambedkarite Party of India,0,12th Pass,33,124000,Chandrapur,125000
Rajendra Krishnarao Hajare,IND,0,Graduate,54,Nil,Chandrapur,0
Rajendra Shriramji Mahadole,Vanchit Bahujan Aaghadi, 2 ,Graduate Professional,48,19703000,Chandrapur,6978054
Sushil Wasnik,BSP,0,12th Pass,54,10485000,Chandrapur,20000
Subhash Ramrao Bhamre,BJP, 2 ,Post Graduate,66,158651112,Dhule,1000000
Anil Ramdas Jadhav,Baliraja Party, 1 ,10th Pass,25,117000,Dhule,0
Anil Umrao Gote,Loksangram, 8 ,10th Pass,70,33766982,Dhule,28126960
Bhamre Subhash Shankar,IND,0,10th Pass,48,2751000,Dhule,300000
Dhiraj Prakash Choradiya,IND,0,Graduate Professional,65,1380636,Dhule,0
Dilip Bhaidas Patil,Bahujan Mukti Party,0,12th Pass,48,1579000,Dhule,0
Dinesh Punamchand Koli,IND,0,Others,29,2000,Dhule,0
Dipak Khandu Amrutkar,IND,0,8th Pass,44,3950446,Dhule,0
Dnyaneshwar Baliram Dhekale,IND,0,8th Pass,42,1290000,Dhule,550000
Iqbal Ahamad Mohammed Rafiq,IND,0,12th Pass,41,257166,Dhule,0
Irfan Mo Isahak,IND,0,Post Graduate,30,475000,Dhule,0
Kasmi Kamal Hashim Mohammad Aajmi,IND,0,Others,50,53556808,Dhule,0
Kunal Rohidas Patil,INC, 1 ,Graduate,45,420966036,Dhule,585784500
Meraj Bi Husain Khan,IND,0,5th Pass,49,730000,Dhule,0
Mevati Heena Yusufbhai,Bhartiya Kisan Party,0,Graduate,45,75000,Dhule,0
Mo. Ismail Ansari,Bharatiya Minorities Suraksha Mahasangh,0,Graduate,57,1737205,Dhule,25000
Mohammed Rizwan Mohammed Akbar,IND, 3 ,Literate,45,2972522,Dhule,0
Nabi Ahamad Ahmadulla,Vanchit Bahujan Aaghadi, 1 ,5th Pass,46,117652383,Dhule,0
Nandkumar Jagannath Chavhan,Rashtriya Jansena Party,0,12th Pass,48,1429000,Dhule,0
Nasim Khan Rauf Khan,IND,0,5th Pass,38,390000,Dhule,0
Nitin Baburao Khare,IND,0,Post Graduate,33,135000,Dhule,0
Pandharinath Chaitram More,Bhartiya Tribal Party,0,Post Graduate,36,2071000,Dhule,0
Pinjari Jainuddin Husain,Bahujan Maha Party, 1 ,10th Pass,38,778020,Dhule,380000
Salim Kasam Pinjari,IND,0,8th Pass,56,6025000,Dhule,0
Sanjay Yashwant Aparanti,BSP,0,Post Graduate,59,29990502,Dhule,0
Sitaram Bhaga Wagh,Bahujan Republican Socialist Party,0,12th Pass,47,1230000,Dhule,450000
Tadvi Ayyub Khan Razzaque Khan,IND,0,8th Pass,47,2700000,Dhule,80000
Taher Sattar Khatik,Rashtriya Maratha Party,0,Graduate,49,67252185,Dhule,200000
Bharti Pawar,BJP,0,Graduate Professional,40,122885349,Dindori,1449572
Ashok Jadhav,BSP,0,Graduate Professional,46,3123759,Dindori,1477024
Bapu Kelu Barde,Vanchit Bahujan Aaghadi,0,10th Pass,53,3360369,Dindori,220000
Dadasaheb Pawar,Rashtriya Maratha Party,0,10th Pass,30,103000,Dindori,104500
Dattu Barde,Bhartiya Tribal Party,0,Graduate,54,224000,Dindori,0
Dhanraj Mahale,NCP, 1 ,12th Pass,44,11989452,Dindori,12518538
Gavit Jiva,CPI(M), 7 ,Graduate,70,22228892,Dindori,683365
Tikaram Bagul,IND,0,Post Graduate,65,29971003,Dindori,0
Ashok Mahadevrao Nete,BJP,0,12th Pass,55,50136369,Gadchiroli Chimur,15682840
Deorao Monba Nannaware,Ambedkarite Party of India,0,Graduate Professional,59,4892338,Gadchiroli Chimur,550000
