Institute ID,Name,City,State,PR Score,PR Rank,Score,Year,Rank
IR-O-U-0249,Visvesvaraya Technological University,Belgaum,Karnataka,2.18,235,41.63,2020,80
IR-O-U-0121,Goa University,Goa,Goa,19.82,107,41.37,2020,81
IR-O-U-0507,Dayalbagh Educational Institute,Agra,Uttar Pradesh,30.70,48,41.21,2020,82
IR-O-U-0470,Periyar University,Salem,Tamil Nadu,28.09,61,41.09,2020,83
IR-O-U-0051,Dibrugarh University,Dibrugarh,Assam,22.20,87,41.05,2020,84
IR-O-U-0223,Jain University,Bengluru,Karnataka,24.74,73,41.03,2020,85
IR-O-U-0250,Yenepoya University,Mangaluru,Karnataka,18.74,129,40.99,2020,86
IR-O-U-0372,Central University of Punjab,Bathinda,Punjab,21.87,89,40.93,2020,87
IR-O-U-0370,Sri Balaji Vidyapeeth Mahatma Gandhi Medical College Campus,Puducherry,Pondicherry,18.74,129,40.92,2020,88
IR-O-U-0576,Kalyani University,Kalyani,West Bengal,19.47,114,40.91,2020,89
IR-O-C-23033,Krishna Institute of Medical Sciences,Karad,Maharashtra,18.00,144,40.87,2020,90
IR-O-U-0453,The Gandhigram Rural Institute,Gandhigram,Tamil Nadu,21.21,95,40.65,2020,91
IR-O-U-0569,The University of Burdwan,Bardhaman,West Bengal,19.82,107,40.55,2020,92
IR-O-U-0168,Maharishi Markandeshwar,Ambala,Haryana,26.45,66,40.49,2020,93
IR-O-U-0162,Guru Jambheshwar University of Science and Technology,Hisar,Haryana,27.21,62,40.43,2020,94
IR-O-U-0099,Guru Gobind Singh Indraprastha University,New Delhi,Delhi,4.53,229,40.24,2020,95
IR-O-U-0366,Utkal University,Bhubaneswar,Odisha,39.00,20,40.05,2020,96
IR-O-U-0555,Graphic Era University,Dehradun,Uttarakhand,26.73,64,40.04,2020,97
IR-O-U-0451,Chettinad Academy of Research and Education,Kanchipuram District,Tamil Nadu,18.74,129,39.97,2020,98
IR-O-U-0164,Kurukshetra University,Kurukshetra,Haryana,33.21,37,39.79,2020,99
IR-O-U-0043,"Vignan's Foundation for Science, Technology & Research",Guntur,Andhra Pradesh,20.52,100,39.71,2020,100
